"Product_ID";"Start_Date";"End_Date";"Unit_Cost_Price";"Unit_Sales_Price";"Factor"
210100100001,00;1/1/1998 00:00:00;31/12/9999 00:00:00;31,00;67,80;1,00
210100100002,00;1/1/1998 00:00:00;22/1/1999 00:00:00;55,15;128,10;1,04
210100100002,00;23/1/1999 00:00:00;13/2/2000 00:00:00;56,80;131,90;1,03
210100100002,00;14/2/2000 00:00:00;6/3/2001 00:00:00;57,90;134,50;1,02
210100100002,00;7/3/2001 00:00:00;28/3/2002 00:00:00;58,45;135,80;1,01
210100100002,00;29/3/2002 00:00:00;31/12/9999 00:00:00;58,45;135,80;1,00
210100100003,00;1/1/1998 00:00:00;31/12/9999 00:00:00;31,10;69,90;1,00
210100100004,00;1/1/1998 00:00:00;31/12/9999 00:00:00;27,85;60,90;1,00
210100100005,00;1/1/1998 00:00:00;31/12/9999 00:00:00;16,15;38,60;1,00
210100100006,00;1/1/1998 00:00:00;31/12/9999 00:00:00;18,35;40,50;1,00
210100100007,00;1/1/1998 00:00:00;31/12/9999 00:00:00;36,15;77,60;1,00
210100100008,00;1/1/1998 00:00:00;31/12/9999 00:00:00;30,80;61,90;1,00
210100100009,00;1/1/1998 00:00:00;31/12/9999 00:00:00;32,10;70,40;1,00
210100100010,00;1/1/1998 00:00:00;31/12/9999 00:00:00;54,80;123,00;1,00
210100100011,00;1/1/1998 00:00:00;14/1/1999 00:00:00;4,85;11,80;1,05
210100100011,00;15/1/1999 00:00:00;28/1/2000 00:00:00;5,00;12,20;1,04
210100100011,00;29/1/2000 00:00:00;10/2/2001 00:00:00;5,15;12,50;1,03
210100100011,00;11/2/2001 00:00:00;24/2/2002 00:00:00;5,20;12,60;1,01
210100100011,00;25/2/2002 00:00:00;31/12/9999 00:00:00;5,20;12,60;1,00
210100100012,00;1/1/1998 00:00:00;31/12/9999 00:00:00;28,70;64,50;1,00
210100100013,00;1/1/1998 00:00:00;31/12/9999 00:00:00;33,65;67,10;1,00
210100100014,00;1/1/1998 00:00:00;31/12/9999 00:00:00;21,60;47,70;1,00
210100100015,00;1/1/1998 00:00:00;31/12/9999 00:00:00;24,35;48,50;1,00
210100100016,00;1/1/1998 00:00:00;31/12/9999 00:00:00;20,90;41,60;1,00
210100100017,00;1/1/1998 00:00:00;31/12/9999 00:00:00;25,05;49,90;1,00
210100100018,00;1/1/1998 00:00:00;31/12/9999 00:00:00;10,55;24,10;1,00
210100100019,00;1/1/1998 00:00:00;31/12/9999 00:00:00;37,30;83,50;1,00
210100100020,00;1/1/1998 00:00:00;31/12/9999 00:00:00;17,00;38,20;1,00
210100100021,00;1/1/1998 00:00:00;31/12/9999 00:00:00;32,20;61,30;1,00
210100100022,00;1/1/1998 00:00:00;31/12/9999 00:00:00;22,55;44,90;1,00
210100100023,00;1/1/1998 00:00:00;21/11/1998 00:00:00;15,75;37,60;1,04
210100100023,00;22/11/1998 00:00:00;12/10/1999 00:00:00;16,20;38,70;1,03
210100100023,00;13/10/1999 00:00:00;1/9/2000 00:00:00;16,65;39,80;1,03
210100100023,00;2/9/2000 00:00:00;23/7/2001 00:00:00;17,10;40,90;1,03
210100100023,00;24/7/2001 00:00:00;13/6/2002 00:00:00;17,25;41,30;1,01
210100100023,00;14/6/2002 00:00:00;31/12/9999 00:00:00;17,25;41,30;1,00
210100100024,00;1/1/1998 00:00:00;12/1/1999 00:00:00;4,80;12,30;1,02
210100100024,00;13/1/1999 00:00:00;24/1/2000 00:00:00;4,85;12,50;1,02
210100100024,00;25/1/2000 00:00:00;4/2/2001 00:00:00;4,85;12,60;1,01
210100100024,00;5/2/2001 00:00:00;16/2/2002 00:00:00;4,85;12,60;1,00
210100100024,00;17/2/2002 00:00:00;31/12/9999 00:00:00;4,85;12,60;1,00
210100100025,00;1/1/1998 00:00:00;31/12/9999 00:00:00;18,50;40,90;1,00
210100100026,00;1/1/1998 00:00:00;14/1/1999 00:00:00;4,30;11,50;1,05
210100100026,00;15/1/1999 00:00:00;28/1/2000 00:00:00;4,45;11,90;1,04
210100100026,00;29/1/2000 00:00:00;10/2/2001 00:00:00;4,55;12,20;1,03
210100100026,00;11/2/2001 00:00:00;24/2/2002 00:00:00;4,60;12,40;1,02
210100100026,00;25/2/2002 00:00:00;31/12/9999 00:00:00;4,60;12,50;1,01
210100100027,00;1/1/1998 00:00:00;22/12/1998 00:00:00;8,60;21,60;1,03
210100100027,00;23/12/1998 00:00:00;13/12/1999 00:00:00;8,75;22,00;1,02
210100100027,00;14/12/1999 00:00:00;3/12/2000 00:00:00;8,80;22,20;1,01
210100100027,00;4/12/2000 00:00:00;24/11/2001 00:00:00;8,80;22,20;1,00
210100100027,00;25/11/2001 00:00:00;15/11/2002 00:00:00;8,80;22,20;1,00
210100100027,00;16/11/2002 00:00:00;31/12/9999 00:00:00;8,80;22,20;1,00
210100100028,00;1/1/1998 00:00:00;31/12/9999 00:00:00;11,40;26,00;1,00
210100100029,00;1/1/1998 00:00:00;11/1/1999 00:00:00;10,35;24,50;1,03
210100100029,00;12/1/1999 00:00:00;22/1/2000 00:00:00;10,55;24,90;1,02
210100100029,00;23/1/2000 00:00:00;1/2/2001 00:00:00;10,75;25,30;1,02
210100100029,00;2/2/2001 00:00:00;12/2/2002 00:00:00;10,85;25,50;1,01
210100100029,00;13/2/2002 00:00:00;31/12/9999 00:00:00;10,85;25,50;1,00
210100100030,00;1/1/1998 00:00:00;19/1/1999 00:00:00;16,80;40,10;1,02
210100100030,00;20/1/1999 00:00:00;7/2/2000 00:00:00;17,10;40,90;1,02
210100100030,00;8/2/2000 00:00:00;25/2/2001 00:00:00;17,40;41,70;1,02
210100100030,00;26/2/2001 00:00:00;16/3/2002 00:00:00;17,55;42,10;1,01
210100100030,00;17/3/2002 00:00:00;31/12/9999 00:00:00;17,55;42,10;1,00
210100100031,00;1/1/1998 00:00:00;31/12/9999 00:00:00;15,55;34,90;1,00
210100100032,00;1/1/1998 00:00:00;21/11/1998 00:00:00;53,05;116,30;1,04
210100100032,00;22/11/1998 00:00:00;12/10/1999 00:00:00;55,15;120,90;1,04
210100100032,00;13/10/1999 00:00:00;1/9/2000 00:00:00;57,35;125,70;1,04
210100100032,00;2/9/2000 00:00:00;23/7/2001 00:00:00;59,05;129,40;1,03
210100100032,00;24/7/2001 00:00:00;13/6/2002 00:00:00;59,60;130,60;1,01
210100100032,00;14/6/2002 00:00:00;31/12/9999 00:00:00;59,60;130,60;1,00
210100100033,00;1/1/1998 00:00:00;10/12/1998 00:00:00;96,85;197,20;1,04
210100100033,00;11/12/1998 00:00:00;19/11/1999 00:00:00;100,70;205,00;1,04
210100100033,00;20/11/1999 00:00:00;28/10/2000 00:00:00;103,70;211,10;1,03
210100100033,00;29/10/2000 00:00:00;7/10/2001 00:00:00;105,75;215,30;1,02
210100100033,00;8/10/2001 00:00:00;16/9/2002 00:00:00;105,75;215,30;1,00
