"Product_ID";"Product_Name";"Supplier_ID";"Product_Level";"Product_Ref_ID"
210000000000,00;"Children";;4,00;
210100000000,00;"Children Outdoors";;3,00;210000000000,00
210100100000,00;"Outdoor things, Kids";;2,00;210100000000,00
210100100001,00;"Boy's and Girl's Ski Pants with Braces";50,00;1,00;210100100000,00
210100100002,00;"Children's Jacket";4742,00;1,00;210100100000,00
210100100003,00;"Children's Jacket Sidney";50,00;1,00;210100100000,00
210100100004,00;"Children's Rain Set";50,00;1,00;210100100000,00
210100100005,00;"Children's Rain Suit";50,00;1,00;210100100000,00
210100100006,00;"Rain Suit for Children";50,00;1,00;210100100000,00
210100100007,00;"Rain Suit";772,00;1,00;210100100000,00
210100100008,00;"Rain Suit Tonado";50,00;1,00;210100100000,00
210100100009,00;"Ski Jacket Oliver";50,00;1,00;210100100000,00
210100100010,00;"Ski Jacket w/Removable Fleece";50,00;1,00;210100100000,00
210100100011,00;"Tiny Mouse Children's Mitten";6355,00;1,00;210100100000,00
210100100012,00;"4ce Ace Children's Jacket";50,00;1,00;210100100000,00
210100100013,00;"4ce Expedition Down Jacket";50,00;1,00;210100100000,00
210100100014,00;"4ce Filip Children's Rainwear";50,00;1,00;210100100000,00
210100100015,00;"4ce Grover Snow Jacket";50,00;1,00;210100100000,00
210100100016,00;"4ce Jaguar Snow Pants";50,00;1,00;210100100000,00
210100100017,00;"4ce Tiger Ski Jacket with Hood";50,00;1,00;210100100000,00
210100100018,00;"Amarone Children's Shorts";50,00;1,00;210100100000,00
210100100019,00;"Blondie Girl's Ski Jacket";50,00;1,00;210100100000,00
210100100020,00;"Dean Creek Children's Vest";50,00;1,00;210100100000,00
210100100021,00;"Down Children's Down Jacket";109,00;1,00;210100100000,00
210100100022,00;"Down Children's Vest";109,00;1,00;210100100000,00
210100100023,00;"Massif Freeride Jr.Gtx Gloves";13199,00;1,00;210100100000,00
210100100024,00;"Massif Penquin Polyester Socks";13199,00;1,00;210100100000,00
210100100025,00;"Monster Children's Pants with Zipper";50,00;1,00;210100100000,00
210100100026,00;"Montana Children's Gloves";6355,00;1,00;210100100000,00
210100100027,00;"Montana Children's mitten";6355,00;1,00;210100100000,00
210100100028,00;"Ranger Children's T-Shirt";50,00;1,00;210100100000,00
210100100029,00;"Scania Children's Gloves";6355,00;1,00;210100100000,00
210100100030,00;"Scania Goretex Junior Gloves";6355,00;1,00;210100100000,00
210100100031,00;"Tasmania Children's Shirt";50,00;1,00;210100100000,00
210100100032,00;"Tony's Nuptse Jacket";15218,00;1,00;210100100000,00
210100100033,00;"Top Children's R&D Down Jacket";14648,00;1,00;210100100000,00
210100100034,00;"Top Children's R&D Jacket, Long";14648,00;1,00;210100100000,00
210100100035,00;"Top Children's R&D Pants";14648,00;1,00;210100100000,00
210100100036,00;"Top Children's Ski Pullover";14648,00;1,00;210100100000,00
210100100037,00;"Top Junior Fleece Hat, Polyester";14648,00;1,00;210100100000,00
210100100038,00;"Top Junior T-Neck Fleece";14648,00;1,00;210100100000,00
210100100039,00;"Twain Flash 100 Jr. Ski Gloves";13198,00;1,00;210100100000,00
210100100040,00;"11m Rain Jacket";772,00;1,00;210100100000,00
210100100041,00;"11m Rain Pants";772,00;1,00;210100100000,00
210100100042,00;"3 K Children's Shoes";2963,00;1,00;210100100000,00
210100100043,00;"3top Children's Shoes";2963,00;1,00;210100100000,00
210100100044,00;"3top Infant Baby Shoes";2963,00;1,00;210100100000,00
210100100045,00;"4goal 2 Trx Junior Football Boots";2963,00;1,00;210100100000,00
210100100046,00;"4goal Trx J Football Boots";2963,00;1,00;210100100000,00
210100100047,00;"Ana Mini Panty";4742,00;1,00;210100100000,00
210100100048,00;"Ana Shorts";4742,00;1,00;210100100000,00
210100100049,00;"Ana Top";4742,00;1,00;210100100000,00
210100100050,00;"Ancnw Children's Shoes";2963,00;1,00;210100100000,00
210200000000,00;"Children Sports";;3,00;210000000000,00
210200100000,00;"A-Team, Kids";;2,00;210200000000,00
210200100001,00;"A-team Children's Shorts w/Pockets";3298,00;1,00;210200100000,00
210200100002,00;"A-team Children's Sweat Pants";3298,00;1,00;210200100000,00
210200100003,00;"A-team Children's Sweat R.Neck Big Logo";3298,00;1,00;210200100000,00
210200100004,00;"A-team Children's Sweat w/Hood,Big Logo";3298,00;1,00;210200100000,00
210200100005,00;"A-team Children's T-Shirt";3298,00;1,00;210200100000,00
210200100006,00;"A-team Children's T-Shirt w/Big Logo";3298,00;1,00;210200100000,00
210200100007,00;"A-team Shiny Children's Pants";3298,00;1,00;210200100000,00
210200100008,00;"Fleece Children's Fleece w/Hood";3298,00;1,00;210200100000,00
210200100009,00;"Kids Sweat Round Neck,Large Logo";3298,00;1,00;210200100000,00
210200100010,00;"Kids Sweat with Hood, Large Logo";3298,00;1,00;210200100000,00
210200100011,00;"Ottis Children's Legend Suit";3298,00;1,00;210200100000,00
210200100012,00;"Ottis Children's Pants Bl";2963,00;1,00;210200100000,00
210200100013,00;"Pants Shiny Children's Pants";3298,00;1,00;210200100000,00
210200100014,00;"SweatPants Children's Sweat Pants Long";3298,00;1,00;210200100000,00
210200100015,00;"SweatPants Children's Sweat Pants";3298,00;1,00;210200100000,00
210200100016,00;"SweatPants  Children's Sweat Pants with Small";3298,00;1,00;210200100000,00
210200100017,00;"Sweatshirt Children's O-Neck";3298,00;1,00;210200100000,00
210200100018,00;"Sweatshirt Children's Sweat w/Zipper Varsity";3298,00;1,00;210200100000,00
210200100019,00;"Sweatshirt Children's Sweatshirt, O-Neck";3298,00;1,00;210200100000,00
210200200000,00;"Bathing Suits, Kids";;2,00;210200000000,00
210200200001,00;"Gamma Swimming Trunks";16292,00;1,00;210200200000,00
210200200002,00;"Legsuit Girl's Swim Suit";16292,00;1,00;210200200000,00
210200200003,00;"Rash Vest Sun Protection";16292,00;1,00;210200200000,00
210200200004,00;"Short Boy's Swimming Trunks";16292,00;1,00;210200200000,00
210200200005,00;"Swim Suit Jr.";6153,00;1,00;210200200000,00
210200200006,00;"Swimming Trunks Domo";4742,00;1,00;210200200000,00
210200200007,00;"Swimming Trunks Jr.";6153,00;1,00;210200200000,00
210200200008,00;"Clear Boy's Short Sun Protection";16292,00;1,00;210200200000,00
210200200009,00;"Fashion Scuba Suit Sun Protection, Girl";16292,00;1,00;210200200000,00
210200200010,00;"Fastlane Swim Suit";16292,00;1,00;210200200000,00
210200200011,00;"Sunfit Arabella Jr. Girl's Swim Suit";6153,00;1,00;210200200000,00
210200200012,00;"Sunfit Brosman Swimming Trunks";6153,00;1,00;210200200000,00
210200200013,00;"Sunfit Brosman Swimming Trunks Jr.";6153,00;1,00;210200200000,00
210200200014,00;"Sunfit Doonyl Swim Suit";6153,00;1,00;210200200000,00
210200200015,00;"Sunfit Madrochka Swim Suit";6153,00;1,00;210200200000,00
210200200016,00;"Sunfit Malika Swim Suit Jr.";6153,00;1,00;210200200000,00
210200200017,00;"Sunfit Maximum Swim Suit Jr.";6153,00;1,00;210200200000,00
210200200018,00;"Sunfit Moreau Swim Suit Jr.";6153,00;1,00;210200200000,00
210200200019,00;"Sunfit Pants Scotish Jr.";6153,00;1,00;210200200000,00
210200200020,00;"Sunfit Pants Slang Jr.";6153,00;1,00;210200200000,00
210200200021,00;"Sunfit Sebas Swimming Trunks";6153,00;1,00;210200200000,00
210200200022,00;"Sunfit Slow Swimming Trunks";6153,00;1,00;210200200000,00
210200200023,00;"Sunfit Stockton Swimming Trunks Jr.";6153,00;1,00;210200200000,00
210200200024,00;"Sunfit Swim Suit Magia Jr.";6153,00;1,00;210200200000,00
210200200025,00;"Sunfit Team Stretch Children's Swim Suit";6153,00;1,00;210200200000,00
210200200026,00;"Sunfit Team Stretch Jr. Swimming Trunks";6153,00;1,00;210200200000,00
210200200027,00;"Swim Suit Fellini Jr. Swim Suit";6153,00;1,00;210200200000,00
210200200028,00;"Swim Suit Mirmon Jr. Swim Suit";6153,00;1,00;210200200000,00
210200200029,00;"Universe Swim Suit";16292,00;1,00;210200200000,00
210200200030,00;"Yep Girl's Bikini";16292,00;1,00;210200200000,00
210200200031,00;"Fun Swim Tights";4742,00;1,00;210200200000,00
210200200032,00;"Gary Swimming Trunks";4742,00;1,00;210200200000,00
210200300000,00;"Eclipse, Kid's Clothes";;2,00;210200000000,00
