user_id,mov_id,rating,timestamp
196,242,3,881250949
186,302,3,891717742
22,377,1,878887116
166,346,1,886397596
115,265,2,881171488
6,86,3,883603013
62,257,2,879372434
200,222,5,876042340
122,387,5,879270459
194,274,2,879539794
119,392,4,886176814
38,95,5,892430094
63,277,4,875747401
160,234,5,876861185
50,246,3,877052329
97,194,3,884238860
157,274,4,886890835
7,32,4,891350932
10,16,4,877888877
99,4,5,886519097
178,332,3,882823437
25,181,5,885853415
59,196,5,888205088
87,384,4,879877127
115,20,3,881171009
20,288,1,879667584
138,26,5,879024232
167,232,1,892738341
57,304,5,883698581
194,165,4,879546723
178,248,4,882823954
127,229,5,884364867
11,111,4,891903862
8,338,4,879361873
162,25,4,877635573
145,275,2,885557505
62,382,3,879375537
28,209,4,881961214
135,23,4,879857765
32,294,3,883709863
90,382,5,891383835
166,328,5,886397722
160,174,5,876860807
42,96,5,881107178
168,151,5,884288058
110,307,4,886987260
58,144,4,884304936
62,21,3,879373460
44,195,5,878347874
194,385,2,879524643
72,195,5,880037702
41,265,3,890687042
82,135,3,878769629
59,23,5,888205300
174,368,1,886434402
87,274,4,879876734
13,272,4,884538403
43,14,2,883955745
160,135,4,876860807
99,268,3,885678247
90,98,5,891383204
155,323,2,879371261
68,117,4,876973939
172,177,4,875537965
19,4,4,885412840
5,2,3,875636053
44,294,4,883612356
43,137,4,875975656
66,298,4,883601324
99,79,4,885680138
13,98,4,881515011
26,258,3,891347949
119,328,4,876923913
130,379,4,875801662
38,328,4,892428688
130,216,4,875216545
1,61,4,878542420
72,48,4,880036718
13,360,4,882140926
92,77,3,875654637
181,220,4,878962392
52,280,3,882922806
161,202,5,891170769
125,235,2,892838559
97,228,5,884238860
83,234,4,887665548
90,347,4,891383319
194,181,3,879521396
151,10,5,879524921
6,14,5,883599249
54,106,3,880937882
91,323,2,891438397
200,318,5,884128458
62,65,4,879374686
92,172,4,875653271
36,339,5,882157581
63,242,3,875747190
28,201,3,881961671
14,98,3,890881335
194,54,3,879525876
119,237,5,874775038
66,258,4,883601089
100,344,4,891374868
181,264,2,878961624
38,153,5,892430369
7,382,4,891352093
193,96,1,889124507
119,222,5,874775311
158,177,4,880134407
181,3,2,878963441
13,198,3,881515193
1,189,3,888732928
145,237,5,875270570
23,385,4,874786462
16,64,5,877720297
95,135,3,879197562
154,357,4,879138713
13,215,5,882140588
145,15,2,875270655
187,64,5,879465631
200,304,5,876041644
184,218,3,889909840
128,204,4,879967478
184,153,3,889911285
1,33,4,878542699
1,160,4,875072547
184,321,5,889906967
94,343,4,891725009
23,323,2,874784266
82,183,3,878769848
69,256,5,882126156
13,56,5,881515011
18,26,4,880129731
92,229,3,875656201
144,89,3,888105691
191,302,4,891560253
200,96,5,884129409
16,197,5,877726146
142,169,5,888640356
87,40,3,879876917
177,333,4,880130397
10,175,3,877888677
191,286,4,891560842
43,323,3,875975110
197,96,5,891409839
13,344,2,888073635
194,66,3,879527264
94,265,4,891721889
121,291,3,891390477
134,286,3,891732334
104,117,2,888465972
7,163,4,891353444
52,250,3,882922661
13,186,4,890704999
83,78,2,880309089
151,197,5,879528710
64,392,3,889737542
5,17,4,875636198
125,163,5,879454956
174,315,5,886432749
23,196,2,874786926
128,15,4,879968827
181,279,1,878962955
60,60,5,883327734
181,325,2,878961814
99,111,1,885678886
65,47,2,879216672
85,259,2,881705026
137,144,5,881433689
111,328,4,891679939
1,20,4,887431883
187,210,4,879465242
96,156,4,884402860
116,350,3,886977926
72,182,5,880036515
25,357,4,885852757
200,365,5,884129962
187,135,4,879465653
184,187,4,889909024
63,289,2,875746985
13,229,4,882397650
92,168,4,875653723
72,54,3,880036854
117,150,4,880125101
94,184,2,891720862
130,109,3,874953794
128,371,1,879966954
64,381,4,879365491
151,176,2,879524293
45,25,4,881014015
181,306,1,878962006
21,370,1,874951293
197,346,3,891409070
131,126,4,883681514
109,8,3,880572642
198,58,3,884208173
90,289,3,891382310
157,25,3,886890787
119,382,5,874781742
21,222,2,874951382
90,259,2,891382392
56,121,5,892679480
62,12,4,879373613
152,301,3,880147407
79,303,4,891271203
75,284,2,884050393
69,240,3,882126156
10,7,4,877892210
22,376,3,878887112
6,98,5,883600680
78,323,1,879633567
118,200,5,875384647
171,292,4,891034835
70,217,4,884151119
10,100,5,877891747
107,333,3,891264267
189,56,5,893265263
56,71,4,892683275
42,274,5,881105817
1,202,5,875072442
173,289,4,877556988
185,23,4,883524249
150,293,4,878746946
178,317,4,882826915
97,222,5,884238887
109,127,2,880563471
117,268,5,880124306
87,367,4,879876702
101,304,3,877135677
18,86,4,880129731
5,225,2,875635723
22,128,5,878887983
8,22,5,879362183
1,171,5,889751711
165,216,4,879525778
181,121,4,878962623
200,11,5,884129542
90,25,5,891384789
134,323,4,891732335
2,292,4,888550774
49,302,4,888065432
22,80,4,878887227
15,25,3,879456204
16,55,5,877717956
189,20,5,893264466
126,294,3,887855087
125,80,4,892838865
43,120,4,884029430
42,44,3,881108548
29,245,3,882820803
37,288,4,880915258
141,245,3,884584426
102,70,3,888803537
77,172,3,884752562
62,68,1,879374969
85,51,2,879454782
90,258,3,891382121
87,82,5,879875774
194,172,3,879521474
94,62,3,891722933
108,100,4,879879720
54,302,4,880928519
90,22,4,891384357
14,269,4,892242403
92,121,5,875640679
1,265,4,878542441
178,385,4,882826982
194,23,4,879522819
188,143,5,875072674
161,48,1,891170745
47,324,3,879439078
7,378,5,891353011
59,92,5,888204997
69,268,5,882027109
21,129,4,874951382
58,9,4,884304328
194,152,3,879549996
7,200,5,891353543
113,126,5,875076827
173,328,5,877557028
95,233,4,879196354
16,194,5,877720733
59,323,4,888206809
43,203,4,883955224
79,50,4,891271545
125,190,5,892836309
104,301,2,888442275
6,301,2,883600406
104,285,4,888465201
111,301,4,891680028
25,222,4,885852817
68,237,5,876974133
83,215,4,880307940
6,258,2,883268278
89,216,5,879459859
128,317,4,879968029
140,332,3,879013617
11,227,3,891905896
150,181,5,878746685
126,245,3,887854726
20,208,2,879669401
195,273,4,878019342
5,110,1,875636493
2,251,5,888552084
85,228,3,882813248
83,281,5,880307072
1,155,2,878542201
24,64,5,875322758
82,56,3,878769410
161,318,3,891170824
196,393,4,881251863
56,91,4,892683275
16,8,5,877722736
180,202,3,877128388
145,56,5,875271896
17,13,3,885272654
148,1,4,877019411
197,347,4,891409070
21,164,5,874951695
185,287,5,883526288
186,250,1,879023607
73,206,3,888625754
94,216,3,885870665
1,117,3,874965739
60,162,4,883327734
198,258,4,884204501
6,69,3,883601277
110,38,3,886988574
13,72,4,882141727
194,77,3,879527421
109,178,3,880572950
62,182,5,879375169
198,234,3,884207833
65,125,4,879217509
90,12,5,891383241
100,354,2,891375260
130,105,4,876251160
56,222,5,892679439
96,87,4,884403531
84,121,4,883452307
125,382,1,892836623
70,399,4,884068521
53,281,4,879443288
198,118,2,884206513
26,125,4,891371676
151,13,3,879542688
24,191,5,875323003
75,240,1,884050661
13,181,5,882140354
2,50,5,888552084
144,125,4,888104191
72,234,4,880037418
83,385,4,887665549
185,216,4,883526268
14,213,5,890881557
149,319,2,883512658
57,79,5,883698495
121,180,3,891388286
62,86,2,879374640
194,187,4,879520813
109,97,3,880578711
181,334,1,878961749
78,255,4,879633745
8,50,5,879362124
186,148,4,891719774
175,127,5,877107640
83,210,5,880307751
153,174,1,881371140
62,302,3,879371909
62,59,4,879373821
83,97,4,880308690
63,100,5,875747319
16,178,5,877719333
85,25,2,879452769
42,98,4,881106711
104,299,3,888442436
184,98,4,889908539
196,381,4,881251728
72,196,4,880036747
128,182,4,879967225
7,171,3,891351287
172,220,4,875537441
59,235,1,888203658
21,324,4,874950889
181,14,1,878962392
158,128,2,880134296
75,237,2,884050309
199,221,4,883782854
1,47,4,875072125
164,281,4,889401906
194,212,1,879524216
95,68,4,879196231
25,257,4,885853415
6,23,4,883601365
22,241,3,878888025
66,181,5,883601425
76,61,4,875028123
13,147,3,882397502
44,258,4,878340824
16,89,2,877717833
125,318,5,879454309
15,331,3,879455166
94,155,2,891723807
136,89,4,882848925
82,194,4,878770027
145,355,3,888396967
179,339,1,892151366
178,199,4,882826306
116,331,3,876451911
23,258,5,876785704
185,114,4,883524320
188,237,3,875073648
194,239,3,879522917
94,24,4,885873423
122,378,4,879270769
154,242,3,879138235
83,43,4,880308690
130,307,4,877984546
59,177,4,888204349
161,168,1,891171174
43,40,3,883956468
61,323,3,891206450
4,264,3,892004275
49,68,1,888069513
165,372,5,879525987
176,324,5,886047292
3,335,1,889237269
44,15,4,878341343
190,117,4,891033697
29,189,4,882821942
94,174,4,885870231
117,181,5,880124648
194,191,4,879521856
158,24,4,880134261
188,96,5,875073128
58,173,5,884305353
16,209,5,877722736
151,12,5,879524368
141,258,5,884584338
